VAR,Variable,UNIT,Measure,COU,Country,YEA,Year,Value,Flag Codes,Flags
EVIEFE00,Females at birth,EVIDUREV,Years,AUS,Australia,2010,2010,84.0,,
EVIEFE00,Females at birth,EVIDUREV,Years,AUS,Australia,2011,2011,84.2,,
EVIEFE00,Females at birth,EVIDUREV,Years,AUS,Australia,2012,2012,84.3,,
EVIEFE00,Females at birth,EVIDUREV,Years,AUS,Australia,2013,2013,84.3,,
EVIEFE00,Females at birth,EVIDUREV,Years,AUS,Australia,2014,2014,84.4,,
EVIEFE00,Females at birth,EVIDUREV,Years,AUS,Australia,2015,2015,84.5,,
EVIEFE00,Females at birth,EVIDUREV,Years,AUS,Australia,2016,2016,84.6,,
EVIEFE00,Females at birth,EVIDUREV,Years,AUS,Australia,2017,2017,84.6,,
EVIEFE00,Females at birth,EVIDUREV,Years,AUS,Australia,2018,2018,84.9,,
EVIEFE00,Females at birth,EVIDUREV,Years,AUS,Australia,2019,2019,85.0,,
EVIEFE00,Females at birth,EVIDUREV,Years,AUS,Australia,2020,2020,85.3,,
EVIEFE00,Females at birth,EVIDUREV,Years,AUS,Australia,2021,2021,85.4,,
EVIEFE40,Females at age 40,EVIDUREV,Years,AUS,Australia,2010,2010,44.9,,
EVIEFE40,Females at age 40,EVIDUREV,Years,AUS,Australia,2011,2011,45.1,,
EVIEFE40,Females at age 40,EVIDUREV,Years,AUS,Australia,2012,2012,45.2,,
EVIEFE40,Females at age 40,EVIDUREV,Years,AUS,Australia,2013,2013,45.2,,
EVIEFE40,Females at age 40,EVIDUREV,Years,AUS,Australia,2014,2014,45.3,,
EVIEFE40,Females at age 40,EVIDUREV,Years,AUS,Australia,2015,2015,45.4,,
EVIEFE40,Females at age 40,EVIDUREV,Years,AUS,Australia,2016,2016,45.4,,
EVIEFE40,Females at age 40,EVIDUREV,Years,AUS,Australia,2017,2017,45.5,,
EVIEFE40,Females at age 40,EVIDUREV,Years,AUS,Australia,2018,2018,45.7,,
EVIEFE40,Females at age 40,EVIDUREV,Years,AUS,Australia,2019,2019,45.9,,
EVIEFE40,Females at age 40,EVIDUREV,Years,AUS,Australia,2020,2020,46.1,,
EVIEFE40,Females at age 40,EVIDUREV,Years,AUS,Australia,2021,2021,46.2,,
EVIEFE60,Females at age 60,EVIDUREV,Years,AUS,Australia,2010,2010,26.2,,
EVIEFE60,Females at age 60,EVIDUREV,Years,AUS,Australia,2011,2011,26.4,,
EVIEFE60,Females at age 60,EVIDUREV,Years,AUS,Australia,2012,2012,26.4,,
EVIEFE60,Females at age 60,EVIDUREV,Years,AUS,Australia,2013,2013,26.5,,
EVIEFE60,Females at age 60,EVIDUREV,Years,AUS,Australia,2014,2014,26.6,,
EVIEFE60,Females at age 60,EVIDUREV,Years,AUS,Australia,2015,2015,26.7,,
EVIEFE60,Females at age 60,EVIDUREV,Years,AUS,Australia,2016,2016,26.7,,
EVIEFE60,Females at age 60,EVIDUREV,Years,AUS,Australia,2017,2017,26.8,,
EVIEFE60,Females at age 60,EVIDUREV,Years,AUS,Australia,2018,2018,27.0,,
EVIEFE60,Females at age 60,EVIDUREV,Years,AUS,Australia,2019,2019,27.1,,
EVIEFE60,Females at age 60,EVIDUREV,Years,AUS,Australia,2020,2020,27.4,,
EVIEFE60,Females at age 60,EVIDUREV,Years,AUS,Australia,2021,2021,27.4,,
EVIEFE65,Females at age 65,EVIDUREV,Years,AUS,Australia,2010,2010,21.8,,
EVIEFE65,Females at age 65,EVIDUREV,Years,AUS,Australia,2011,2011,22.0,,
EVIEFE65,Females at age 65,EVIDUREV,Years,AUS,Australia,2012,2012,22.0,,
EVIEFE65,Females at age 65,EVIDUREV,Years,AUS,Australia,2013,2013,22.1,,
EVIEFE65,Females at age 65,EVIDUREV,Years,AUS,Australia,2014,2014,22.2,,
EVIEFE65,Females at age 65,EVIDUREV,Years,AUS,Australia,2015,2015,22.3,,
EVIEFE65,Females at age 65,EVIDUREV,Years,AUS,Australia,2016,2016,22.3,,
EVIEFE65,Females at age 65,EVIDUREV,Years,AUS,Australia,2017,2017,22.3,,
EVIEFE65,Females at age 65,EVIDUREV,Years,AUS,Australia,2018,2018,22.6,,
EVIEFE65,Females at age 65,EVIDUREV,Years,AUS,Australia,2019,2019,22.7,,
EVIEFE65,Females at age 65,EVIDUREV,Years,AUS,Australia,2020,2020,23.0,,
EVIEFE65,Females at age 65,EVIDUREV,Years,AUS,Australia,2021,2021,23.0,,
